1	RACE.
2	Agenda Hej og velkommen!|Client-server &amp; request/response cyklussen  Intro til Node.js Intro til Express|GET og POST requests Hands-on: Opgaver
3	Agenda “Node/Express Intro”-opsamling|EJS og formhåndtering i Express.js Request-objektet i Express  Behandling af brugerinput|Inputvalidering og sanitering Chatbot
4	Opgaver Hello Node.js|Hello HTTP Module (uden Express.js) Getting Started with Express.js Fullstack &gt; Node.js &gt; Build a Node API|Begynd på Fullstack &gt; Express.js Ekstraopgaver Node.js File System|Introduction to Backend Development with Node.js &amp; Express.js
5	I’m Rasmus Cederdorff (RACE) Senior Lecturer|Freelance Web App Developer Programming with an eye for UI and UX. Web Development, JavaScript, React, BaaS &amp; Node.js|“I speak JavaScript”. Websites, Webshops, Web Apps, Mobile Apps, Server App and BaaS.
6	Computer Science EAAA|Web Development (PBA) EAAA Master of Science in IT|SDU App Developer Visiolink ApS|Freelance Web App Developer Cederdorff Lecturer|EAAA l 2013|2011 l 2013|l 2015 l|l 2014 l|2018 Backend Frontend|Senior Lecturer EAAA l|2021 Senior Lecturer KEA|l 2022 Senior Lecturer|EAAA l 2023
7	I’m Rasmus Cederdorff Holstebro|Alicia &amp; Ida From Holstebro I’m into sports|Love () gadgets, to take pictures &amp; interior design projects What’s with my arm?
8	
9	
10	The cool thing about JavaScript is that you can create stuff that will put a smile on your face, as a developer. You can create stuff and it will visually look like something, and it'll do stuff, and it makes you feel good, |it makes you fall in love with programming . Lex Fridman|Computer Scientist https://www.youtube.com/watch?v=GLhyjVZp0cw&amp;t=252s  |“ ”
11	
12	
13	Formål (første tre gange) At udvide vores forståelse og kompetencer indenfor backendudvikling med Node.js. |Viden og forståelse for CRUD, REST, HTTP-metoder, request og response. Implementere REST API’er med Node.js og Express.js efter Best Practices.  Kommunikere med databaser - først MySQL og dernæst MongDB.|Praktisk tilgang: Vi skal arbejde med opgaver kombineret med mindre teorioplæg.
14	BACKEND FRONTEND|FETCH( GET, POST, PUT, DELETE )|JSON DATA RESPONSE REQUEST|REST API API with PHP &amp; MySQL
15	BACKEND FRONTEND|FETCH( GET, POST, PUT, DELETE )|JSON DATA RESPONSE REQUEST|REST API REST API with Node.js, Express &amp; MongoDB
16	BACKEND FRONTEND|FETCH( GET, POST, PUT, DELETE )|JSON DATA RESPONSE REQUEST|REST API Contact App with REST API
17	Code  Every |Day 🤷🏼‍♂️
18	Men hvorfor gør I det her ved os?
19	https://survey.stackoverflow.co/2025/technology#1-programming-scripting-and-markup-languages  
20	
21	https://survey.stackoverflow.co/2025/technology#1-web-frameworks-and-technologies  
22	https://survey.stackoverflow.co/2025/technology#1-databases  
23	I HAVE NO IDEA WHAT I’M DOING
24	
25	DATA SOURCE App|FETCH( GET, POST, PUT, DELETE )|JSON DATA RESPONSE REQUEST|REST API Client Server Architecture  posts|  users  |SERVER CLIENT
26	Client-Server Model SERVER|CLIENT Communication between web  clients| and web  servers .
27	Client-Server Model SERVER|CLIENT Communication between web  clients| and web  servers .|Browsers Or any type of program or device Cloud Computers|Often computers in the cloud
28	Client-Server Model SERVER|CLIENT Communication between web  clients| and web  servers .|HTTP Request HTTP Response
29	HTTP Request HTTP Response|A protocol and standard for fetching data, HTML and other resources (text, images, videos, scripts, JSON). The foundation of the web. H|yper  T ext |T ransfer  P|rotocol
30	https://www.w3schools.com/whatis/whatis_http.asp
31	Network Tab
32	Network Tab
33	Network Tab Investigating Network Activity in the Browser
34	DATA SOURCE WEB APP|FETCH( GET, POST, PUT, DELETE )|JSON DATA RESPONSE REQUEST|REST API Fetch, HTTP Request &amp; Response posts|  users  |SERVER CLIENT
35	Server App Browser|Web Dev Architecture SERVER CLIENT|Database
36	Backend Frontend|RESPONSE REQUEST REST API|Web Dev Architecture SERVER CLIENT|SQL
37	Introduction to
38	Formål At skabe en forståelse for hvad Node.js er og kan, samt introducere de koncepter og tools, der gør sig gældende for backendudvikling med JavaScript (Node.js). |Praktisk tilgang: Vi skal arbejde med opgaver kombineret med mindre teorioplæg.
39	Agenda What’s Node.js &amp; Why Do We Need It?|Node.js Runtime Environment &amp; Key Features Node.js HTTP Module &amp; Postman Node.js File System|Wrap up (Libraries &amp; Hand In)
40	Server-side JavaScript runtime environment. Executes JavaScript outside of the browser.
41	Imagine Node.js as a powerful engine that lets you run JavaScript code outside of a web browser. Instead of just using JavaScript for web pages, Node.js lets you use it on your computer or on a server.|It's like having a super-fast computer that can understand and do all the smart things you do in a web browser with JavaScript, but now it can do it on your own computer or a server.
42	Run JavaScript, not just in browsers 🎉
43	JavaScript Beyond Browser Instead of being limited to doing things only on the internet, Node.js lets you use JavaScript to build programs and applications on your computer or server. You get to use the same language you know from web pages.|Fast and Efficient Node.js is built to be really fast and efficient. It can handle many things at once without getting slow. This is really useful when you're working with apps that need to do lots of things at the same time, like chat apps or real-time updates. Don't Wait for Things|Usually, when a computer does something, it has to wait until that task is finished before moving on to the next one. Node.js does things differently. It can start a task and then keep working on other things while it waits for the first task to finish. Customize with Modules Think of modules as little building blocks of code. Node.js gives you lots of ready-made code that you can use in your programs. You don't have to invent everything from scratch. It makes it easy to add new features to your projects.|Used for Many Things People use Node.js to build all sorts of things, from simple web servers to complex applications. It's popular in modern web development because it allows fast and efficient communication between clients and servers. K|ey  P oints
44	Please, Do not try to understand everything!
45	Øvelse Hello Node.js
46	Why do we need it?
47	Why do we need it? In pairs, discuss and investigate|Look at code and previous Node projects Ask Google and ChatGPT
48	The Node.js runtime environment is an open-source, cross-platform JavaScript runtime built on Google Chrome's V8 JavaScript engine.  It allows developers to execute JavaScript code on the server-side, outside of the browser, enabling them to build scalable and high-performance applications.|Node.js provides a range of features and capabilities that are particularly well-suited for building real-time, networked, and event-driven applications. R untime|  E nvironment
49	Non-blocking I/O Node.js operates using an event-driven, non-blocking I/O model, which means that it can handle multiple concurrent connections without requiring a separate thread for each connection. |This design choice enables efficient handling of I/O-bound tasks, making it suitable for applications that involve a lot of network communication. https://www.geeksforgeeks.org/how-node-js-overcome-the-problem-of-blocking-of-i-o-operations/  |R untime  |E nvironment
